cells,drugs,labels
0,0,0.008228042
0,1,0.099058755
0,2,0.080764666
0,3,8.0
0,4,7.8473053
0,5,6.81924
0,6,8.0
0,7,8.0
0,8,8.0
0,9,8.0
0,10,0.3297017
0,11,0.027688215
0,12,8.0
0,13,8.0
0,14,8.0
0,15,8.0
0,16,8.0
0,17,2.329924
0,18,8.0
0,19,3.7728956
0,20,5.3658667
0,21,4.144046
0,22,8.0
0,23,5.879254
1,0,0.002542614
1,1,0.039293982
1,2,0.0
1,3,8.0
1,4,8.0
1,5,8.0
1,6,0.0
1,7,8.0
1,8,0.0
1,9,3.2677524
1,10,0.053038094
1,11,0.068957984
1,12,5.87059
1,13,8.0
1,14,4.5979495
1,15,8.0
1,16,8.0
1,17,2.6821299
1,18,8.0
1,19,8.0
1,20,0.0
1,21,2.827591
1,22,8.0
1,23,0.22924733
2,0,0.002920167
2,1,0.17350183
2,2,0.06704437
2,3,2.4395125
2,5,7.1661363
2,6,7.4753547
2,7,3.3984034
2,8,8.0
2,9,8.0
2,10,0.07082279
2,11,0.04879194
2,12,8.0
2,13,8.0
2,14,3.1922367
2,15,8.0
2,16,8.0
2,17,5.002314
2,18,8.0
2,19,7.235604
2,20,1.0646656
2,21,2.4730945
2,23,5.962202
3,0,0.0025
3,1,0.04371729
3,2,0.06956872
3,3,8.0
3,4,8.0
3,5,8.0
3,6,8.0
3,7,4.1689477
3,8,8.0
3,9,8.0
3,10,0.1500945
3,11,0.08150626
3,12,8.0
3,13,8.0
3,14,8.0
3,15,8.0
3,16,8.0
3,17,1.7361814
3,18,8.0
3,19,5.662527
3,20,2.7799983
3,21,2.2175808
3,22,8.0
3,23,3.3139575
4,0,0.002542614
4,1,0.03380843
4,2,0.03499204
4,3,4.2329645
4,4,0.8494762
4,5,6.3825607
4,6,1.9104344
4,7,5.612644
4,8,0.8475803
4,9,0.3328927
4,10,0.42257124
4,11,0.011503134
4,12,8.0
4,13,8.0
4,14,7.2618833
4,15,3.275442
4,16,1.8905237
4,17,4.260822
4,18,8.0
4,19,2.3897722
4,20,0.1830576
4,21,0.8404493
4,22,1.6995686
5,0,0.20456108
5,1,0.51258737
5,2,0.7408179
5,3,2.3250973
5,5,8.0
5,6,8.0
5,7,2.5670395
5,8,6.6996226
5,9,8.0
5,10,0.1517988
5,11,0.08745406
5,13,8.0
5,14,1.07131
5,15,7.150411
5,16,5.591302
5,17,8.0
5,18,8.0
5,19,7.8629923
5,20,1.0623457
5,21,6.6590934
5,23,4.258597
6,0,0.2133125
6,1,0.070824966
6,2,0.20922014
6,3,8.0
6,4,7.1780353
6,5,7.3938103
6,6,8.0
6,7,0.0
6,8,8.0
6,9,8.0
6,10,0.27953023
6,11,0.2376862
6,13,8.0
6,14,8.0
6,15,8.0
6,16,8.0
6,17,7.6131477
6,18,8.0
6,19,8.0
6,20,6.6309195
6,21,8.0
6,22,0.0
6,23,8.0
7,0,0.009948481
7,1,0.12189111
7,2,0.502823
7,3,8.0
7,4,8.0
7,5,8.0
7,6,5.63525
7,7,8.0
7,8,5.3393083
7,9,8.0
7,10,0.37540126
7,11,0.050731044
7,12,0.5444446
7,13,8.0
7,14,8.0
7,15,8.0
7,16,8.0
7,17,4.950636
7,18,8.0
7,19,6.2365003
7,20,1.0202181
7,21,2.5322595
7,22,5.3133707
7,23,8.0
8,0,0.010207787
8,1,0.08654926
8,2,0.12469602
8,3,8.0
8,4,8.0
8,5,8.0
8,6,6.8525286
8,7,8.0
8,8,8.0
8,9,8.0
8,10,0.28217494
8,11,0.068852134
8,12,0.37788337
8,13,8.0
8,14,8.0
8,15,8.0
8,16,8.0
8,17,8.0
8,18,8.0
8,19,8.0
8,20,1.416328
8,21,6.509104
8,22,8.0
8,23,7.6896653
9,0,0.0025
9,1,0.31726998
9,2,0.0
9,3,7.7213883
9,4,5.2266197
9,5,8.0
9,7,2.2451396
9,8,0.0
9,9,8.0
9,10,0.23495263
9,11,0.11275625
9,12,8.0
9,13,8.0
9,14,4.4914865
9,15,8.0
9,16,8.0
9,17,3.888341
9,18,0.041985605
9,19,8.0
9,20,0.0
9,21,2.3790035
9,22,8.0
9,23,0.5344665
10,0,0.030916
10,1,0.28293887
10,2,0.5086028
10,3,8.0
10,4,8.0
10,5,8.0
10,6,8.0
10,7,8.0
10,8,8.0
10,9,8.0
10,10,0.26749858
10,11,0.10136784
10,12,8.0
10,13,8.0
10,14,8.0
10,15,8.0
10,16,8.0
10,17,8.0
10,18,8.0
10,19,8.0
10,20,3.6512175
10,21,2.5308206
10,22,8.0
10,23,4.5346084
11,0,0.006528344
11,1,0.41938305
11,2,0.16683416
11,3,8.0
11,4,7.3998327
11,5,0.5308588
11,6,1.0819944
11,7,1.6361996
11,8,8.0
11,9,8.0
11,10,0.029675882
11,12,5.2306547
11,13,8.0
11,14,6.0749955
11,15,8.0
11,16,8.0
11,18,8.0
11,19,3.8207808
11,20,0.33127552
11,21,2.659319
11,22,8.0
11,23,0.63951606
12,0,0.003566902
12,1,0.08375285
12,2,0.0
12,3,8.0
12,4,8.0
12,5,8.0
12,6,8.0
12,7,8.0
12,8,8.0
12,9,8.0
12,10,0.33954486
12,11,0.06320968
12,12,8.0
12,13,8.0
12,14,8.0
12,15,8.0
12,16,8.0
12,17,8.0
12,18,8.0
12,19,8.0
12,20,2.6165273
12,21,8.0
12,22,8.0
12,23,8.0
13,0,0.004648883
13,1,0.063862644
13,2,0.061784048
13,3,8.0
13,4,7.1466775
13,5,4.005534
13,6,6.804694
13,7,2.500408
13,8,8.0
13,9,6.4711185
13,10,0.0311099
13,11,0.054937102
13,12,0.06419707
13,14,8.0
13,15,8.0
13,16,4.0657296
13,17,6.508904
13,18,8.0
13,19,3.0424712
13,20,1.2503096
13,21,1.4944941
13,22,8.0
13,23,1.3949726
14,0,0.007149658
14,1,0.3248003
14,2,0.1461559
14,3,8.0
14,4,8.0
14,5,7.351114
14,6,8.0
14,7,8.0
14,8,8.0
14,9,8.0
14,10,0.16973723
14,11,0.04676863
14,12,0.007476748
14,13,0.10683089
14,14,8.0
14,15,8.0
14,16,8.0
14,17,2.7554235
