cells,drugs,labels
3,23,1.0
4,2,0.0
4,9,1.0
4,18,0.0
5,10,0.0
5,14,1.0
6,20,0.0
9,14,1.0
11,17,0.0
13,12,1.0
13,13,1.0
16,4,0.0
17,14,1.0
20,18,0.0
26,14,1.0
27,7,1.0
28,1,0.0
28,9,1.0
30,6,1.0
31,7,1.0
31,20,0.0
32,22,1.0
33,19,0.0
34,15,0.0
36,0,0.0
36,12,1.0
39,11,0.0
40,14,1.0
40,15,0.0
41,12,1.0
41,19,1.0
41,21,1.0
42,14,0.0
43,6,1.0
43,12,1.0
46,14,0.0
47,12,1.0
47,23,1.0
48,22,0.0
49,12,1.0
49,19,1.0
51,20,1.0
51,22,1.0
55,18,0.0
56,17,0.0
61,14,0.0
61,19,0.0
63,5,0.0
63,23,1.0
69,6,0.0
70,12,0.0
74,18,1.0
75,5,1.0
75,17,1.0
77,6,1.0
77,12,1.0
81,8,1.0
81,14,1.0
83,7,1.0
84,21,1.0
86,21,0.0
88,1,0.0
88,2,0.0
88,8,0.0
88,23,1.0
90,19,0.0
94,3,1.0
96,18,0.0
97,1,0.0
97,7,1.0
98,1,0.0
98,18,1.0
98,22,0.0
102,0,0.0
103,23,0.0
105,12,1.0
106,14,1.0
109,8,0.0
109,13,0.0
109,20,1.0
111,22,0.0
113,11,0.0
114,13,1.0
114,22,1.0
115,19,0.0
119,20,1.0
121,8,1.0
123,7,0.0
123,23,1.0
128,13,0.0
130,2,0.0
130,7,0.0
130,21,1.0
131,21,1.0
133,23,0.0
138,14,0.0
140,16,0.0
141,9,0.0
142,12,1.0
142,23,0.0
143,7,1.0
144,7,1.0
148,12,0.0
148,22,1.0
149,7,1.0
149,12,1.0
150,17,1.0
150,20,0.0
151,1,0.0
152,20,1.0
152,22,0.0
154,0,0.0
154,4,0.0
158,12,1.0
158,14,1.0
160,15,0.0
161,2,0.0
162,18,1.0
163,7,1.0
163,19,0.0
166,17,0.0
167,23,0.0
169,19,1.0
171,20,0.0
173,14,0.0
174,2,0.0
174,22,1.0
175,6,1.0
175,19,1.0
177,1,0.0
178,10,0.0
179,4,0.0
180,2,0.0
180,9,1.0
180,12,1.0
181,0,0.0
182,11,0.0
183,2,0.0
183,17,1.0
183,20,0.0
184,16,0.0
187,1,0.0
193,1,0.0
193,19,1.0
194,13,1.0
194,16,1.0
195,13,1.0
195,23,1.0
196,23,1.0
197,23,1.0
198,20,0.0
199,3,1.0
199,8,1.0
199,14,1.0
200,23,0.0
204,12,0.0
205,17,1.0
206,20,0.0
207,8,1.0
207,19,1.0
207,23,1.0
208,3,0.0
211,21,1.0
212,6,0.0
213,14,0.0
214,15,0.0
217,17,1.0
219,17,1.0
219,19,1.0
220,21,1.0
221,23,0.0
222,3,0.0
222,10,0.0
222,18,0.0
227,22,0.0
227,23,0.0
228,11,1.0
231,3,0.0
231,23,1.0
233,5,0.0
233,10,0.0
236,4,1.0
236,6,1.0
236,18,1.0
237,8,0.0
237,15,0.0
238,12,1.0
239,6,0.0
239,19,1.0
240,12,0.0
244,3,0.0
244,8,1.0
245,11,1.0
246,7,1.0
246,14,1.0
248,17,0.0
249,23,1.0
251,14,0.0
252,9,0.0
254,6,0.0
256,10,0.0
261,1,0.0
261,7,0.0
262,16,0.0
263,10,0.0
265,3,1.0
266,15,0.0
268,16,0.0
269,12,1.0
270,7,1.0
274,16,0.0
276,7,1.0
276,19,1.0
278,6,0.0
278,11,0.0
279,7,0.0
280,17,1.0
281,5,0.0
281,7,0.0
281,12,1.0
281,19,1.0
282,3,1.0
285,20,0.0
286,9,0.0
287,7,0.0
289,3,0.0
289,11,0.0
290,4,1.0
292,3,0.0
294,4,0.0
294,7,0.0
295,21,0.0
297,7,0.0
297,15,0.0
297,23,0.0
299,19,0.0
300,7,0.0
301,8,0.0
302,17,1.0
302,23,1.0
305,13,1.0
305,19,0.0
307,8,1.0
307,23,1.0
313,12,1.0
315,16,0.0
318,20,0.0
319,21,1.0
320,0,0.0
320,13,1.0
321,13,0.0
321,14,0.0
322,14,1.0
323,10,0.0
323,19,1.0
324,12,1.0
326,6,1.0
326,8,1.0
326,17,1.0
334,20,1.0
336,12,1.0
336,21,1.0
338,3,0.0
339,14,0.0
341,20,0.0
342,3,1.0
343,3,0.0
343,17,0.0
343,19,1.0
344,23,1.0
345,23,1.0
348,3,1.0
348,19,1.0
349,11,1.0
353,19,0.0
355,6,1.0
355,22,1.0
357,13,0.0
358,7,0.0
358,16,1.0
359,1,0.0
359,15,0.0
360,7,1.0
361,23,1.0
363,17,1.0
364,16,0.0
364,20,1.0
365,12,1.0
369,0,0.0
371,18,0.0
374,4,1.0
374,23,1.0
375,5,0.0
376,8,0.0
376,12,0.0
381,18,0.0
384,8,1.0
386,23,1.0
387,6,0.0
388,21,1.0
390,12,1.0
390,19,1.0
394,10,0.0
396,11,0.0
397,7,0.0
400,20,0.0
401,5,0.0
401,12,1.0
401,14,0.0
406,14,1.0
406,17,0.0
407,22,0.0
408,8,1.0
410,8,1.0
410,20,1.0
411,7,1.0
411,8,1.0
412,14,0.0
412,21,0.0
413,12,0.0
415,11,0.0
415,14,1.0
415,23,1.0
416,13,1.0
416,17,1.0
416,21,1.0
418,9,1.0
421,6,1.0
421,22,1.0
425,22,0.0
427,22,0.0
428,20,1.0
429,3,0.0
429,22,1.0
430,12,1.0
431,17,1.0
432,7,1.0
435,13,0.0
