cells,drugs,labels
2,4,2.3077676
2,22,3.7384524
4,23,0.79090726
5,4,1.0574611
5,12,1.4542717
5,22,8.0
6,12,8.0
9,6,0.0
11,11,0.023814078
11,17,5.150312
13,13,1.5796169
16,6,0.0
19,10,0.07433415
21,5,8.0
22,15,8.0
23,8,1.9166074
26,7,2.0616882
28,3,8.0
28,14,3.0937493
29,4,8.0
31,7,1.4577609
31,21,1.5635142
32,13,1.360163
32,20,8.0
33,12,0.6875344
35,7,0.6988
36,17,5.3876724
37,23,2.7398486
38,7,0.8272558
38,21,8.0
39,14,8.0
39,23,7.9942875
40,10,1.6888574
41,21,0.77653265
43,19,0.21468255
45,4,0.24019484
45,7,0.76331
45,8,0.0
45,9,8.0
47,21,2.156605
49,12,0.00600136
49,19,3.6585727
50,0,0.3165203
51,14,8.0
52,8,0.0
52,10,1.4798502
53,11,0.12422759
57,13,0.32975236
58,19,0.20550914
59,7,3.1153533
60,0,0.01984644
61,23,5.063469
62,5,0.06655039
63,13,8.0
67,4,8.0
69,20,1.6781508
71,21,1.3510627
72,14,8.0
72,19,8.0
74,9,0.0
74,13,8.0
75,20,0.08287233
76,14,2.281472
77,12,0.36212426
79,12,0.024077827
79,23,2.6041768
80,19,7.2824388
80,23,2.4686916
81,14,3.6499836
84,21,1.6178293
85,20,0.0
86,17,8.0
87,8,2.5319483
93,16,8.0
96,17,8.0
97,8,8.0
99,12,0.010615913
100,15,8.0
101,13,8.0
101,17,8.0
102,11,0.10957502
103,9,8.0
106,4,8.0
109,8,8.0
110,20,0.6018924
111,3,8.0
113,12,8.0
118,23,3.8191962
121,2,0.0
123,23,3.2279882
124,14,8.0
126,8,0.0
127,12,8.0
127,13,8.0
127,21,1.9555377
127,23,3.1322448
128,21,5.4395657
130,19,4.2870183
131,12,1.3396133
133,10,0.061651316
137,3,2.531054
137,18,8.0
138,10,0.07971938
138,22,1.3363248
139,15,8.0
139,20,0.8195904
140,11,0.008737668
142,2,1.7629228
143,3,4.2551312
144,17,1.8226293
144,18,0.8594867
147,21,1.640936
148,6,8.0
148,7,0.0
148,8,8.0
148,22,0.0
150,21,1.0469065
151,14,8.0
152,7,2.8005297
153,14,3.9014442
154,14,8.0
155,4,8.0
155,21,8.0
156,7,4.4750266
157,9,8.0
158,6,0.0
160,21,1.3855329
161,6,8.0
163,7,3.0985055
163,19,5.1914587
163,22,8.0
165,5,3.8769488
165,21,0.46548316
166,8,0.4352004
166,9,0.28992903
166,20,0.13004668
167,12,0.08020828
169,1,0.62655365
170,13,0.092270665
172,6,0.013746729
172,15,8.0
173,1,2.4392502
173,7,2.2152996
174,11,0.009937636
175,12,8.0
175,20,0.0
176,21,0.7530838
180,4,3.2168996
181,2,0.45842236
183,15,8.0
185,4,6.732224
185,17,0.65142435
186,9,1.0587127
187,3,8.0
189,23,8.0
190,10,0.652887
193,18,8.0
194,12,0.09873667
194,16,4.260953
195,3,5.0651026
196,21,1.2985752
199,8,0.0
199,17,3.6128314
200,14,8.0
200,19,8.0
202,7,2.1569362
205,12,0.64086336
211,8,8.0
211,21,1.1527799
213,17,8.0
217,11,0.035915688
219,22,4.744395
220,22,8.0
221,6,4.411684
222,21,8.0
222,22,8.0
223,10,0.07297306
224,11,0.0
225,6,3.9747026
226,18,8.0
226,22,2.3128428
228,11,0.010588877
228,15,8.0
228,20,2.7318213
229,17,2.8233807
235,23,2.566448
238,0,0.00261794
238,2,0.046031624
241,7,2.607379
242,4,4.689733
245,11,0.008617696
245,13,8.0
246,2,0.098226845
248,2,0.47883543
250,0,0.00391821
250,23,3.4670062
253,0,0.014950856
253,8,0.0
255,21,1.399953
256,3,5.5193615
256,22,8.0
257,13,8.0
257,21,8.0
259,1,0.19822557
261,4,8.0
264,8,8.0
264,21,8.0
266,13,8.0
267,8,8.0
268,7,1.701827
269,15,8.0
270,7,1.8437166
270,13,8.0
273,1,0.7096832
274,10,0.05569507
275,9,8.0
277,9,8.0
278,20,0.6959718
279,23,8.0
280,8,8.0
281,8,8.0
282,14,2.416388
283,5,0.026705228
283,21,3.5485015
284,19,1.6001813
287,22,0.21173799
287,23,3.5841415
289,11,0.13646288
290,1,1.6492461
290,3,2.1327195
290,7,2.1057315
292,12,8.0
293,20,2.3802097
293,21,7.341634
293,23,2.806128
298,20,8.0
299,17,2.8823674
300,8,8.0
303,5,2.0279715
304,7,2.0268312
305,7,0.64373463
308,9,1.1314774
309,19,4.0165634
310,15,8.0
311,5,4.2047725
312,0,0.24827014
318,15,8.0
320,5,4.265406
321,3,8.0
321,21,8.0
322,14,2.5650291
325,3,8.0
326,6,0.0
326,8,0.0
327,23,4.1446824
329,4,8.0
333,20,0.0
336,1,0.5192765
336,10,0.117055684
336,17,2.8003147
341,6,8.0
341,13,1.8990229
343,15,8.0
344,21,1.0232474
346,6,8.0
348,4,1.5117657
348,7,1.0165105
348,12,1.8431786
349,6,0.0
351,23,2.9086998
353,10,0.42586872
355,8,0.39775968
356,3,8.0
357,23,8.0
358,14,8.0
358,15,8.0
358,16,6.456522
358,20,3.5154345
359,4,0.19639184
363,22,6.4503756
363,23,2.2054863
364,18,3.13119
365,19,8.0
367,12,0.012090529
368,2,0.16943243
369,0,0.019149521
369,4,1.4764441
370,13,0.20324552
372,6,0.0
373,11,0.022701712
376,6,8.0
376,21,8.0
376,22,8.0
378,15,8.0
379,8,0.0
380,12,8.0
383,19,8.0
387,19,3.8730202
389,17,0.35650924
392,9,8.0
392,12,0.6652588
394,20,0.20236985
395,6,0.0
399,3,1.2150902
401,19,3.1288786
401,23,3.311057
402,8,1.642117
408,9,0.0
408,17,2.8216462
410,8,0.0
410,17,8.0
411,13,0.92628014
412,15,8.0
414,0,0.24393393
415,5,7.6848235
415,8,8.0
