cells,drugs,labels
0,0,1.127478
0,1,1.9033197
0,2,1.4919698
0,3,0.14594908
0,4,2.9524877
0,5,2.787257
0,6,5.120755
0,7,2.868292
0,8,-0.10421076
0,9,4.8588405
0,10,-1.5975244
0,11,-2.9544294
0,12,7.8961043
0,13,5.2382665
0,14,-4.5271435
0,15,-3.0371163
0,16,-3.6472874
0,17,-0.71211916
0,18,3.1996505
0,19,-4.4089723
0,20,0.30777273
0,21,2.307234
0,22,4.9274836
0,23,1.464855
0,24,-2.083542
0,25,-2.604273
0,26,-4.9187274
0,27,4.4853797
0,28,0.8994658
0,29,3.6405
0,30,4.485748
0,31,1.1579942
0,32,2.4365864
0,33,2.6841805
0,34,3.5005584
0,35,3.7926004
0,36,-5.1231384
0,37,-3.9840667
0,38,-3.8179088
0,39,4.3292265
0,40,3.9259863
0,41,-3.5940711
0,42,3.5929608
0,43,-4.9242496
0,44,0.54118603
0,45,-0.23910671
0,46,1.7073611
0,47,6.2041993
0,48,1.1057543
0,49,-2.9183695
0,50,2.3812504
0,51,3.6554358
0,53,1.7633742
0,54,3.0872142
0,55,2.968321
0,56,1.1013194
0,57,0.4793675
0,58,5.1104226
0,59,2.5433986
0,60,-3.1104445
0,61,-0.62114954
0,62,0.5415551
0,63,-4.5442863
0,64,2.4183311
0,65,0.55553305
0,66,2.1672182
0,67,0.6686238
0,68,4.0574594
0,69,0.7040269
0,70,2.8072686
0,72,-3.6974084
0,73,-0.96677387
0,74,0.40236527
0,75,0.54590625
0,76,-3.7161577
0,77,-1.0819128
0,78,-3.9598002
0,80,-2.1475286
0,81,2.8382065
0,82,0.7377593
0,83,1.2282797
0,84,-3.038878
0,85,-1.2402179
0,86,0.40225136
0,87,3.9507303
0,88,-0.07922691
0,90,4.2913785
0,91,0.52902454
0,92,4.469348
0,93,-0.79078674
0,94,0.75208724
0,95,2.462426
0,96,3.7880738
0,97,2.8753254
0,98,2.6197553
0,99,2.4321783
0,100,0.73989826
0,101,0.75773096
0,102,2.472354
0,103,0.9879294
0,104,1.4590502
0,105,3.059109
0,106,3.0220292
0,107,0.23366745
0,108,3.7004209
0,109,0.1210385
0,110,2.8306053
0,111,2.8763096
0,112,-0.4187196
0,113,3.128735
0,114,2.6660159
0,115,-1.806822
0,116,-4.413224
0,117,4.253759
0,118,1.0278805
0,119,-0.5501739
0,120,-1.862192
0,121,4.0668244
0,122,2.3176212
0,123,-1.781358
0,124,3.3932943
0,125,2.1494
0,126,3.666685
0,127,2.5362592
0,128,2.7675178
0,129,4.7050056
0,130,3.5800512
0,131,1.3427612
0,132,2.8763065
0,133,3.78171
0,134,1.8461345
0,135,2.0177455
0,136,-2.3555238
0,137,2.0658348
0,138,0.92167354
0,139,1.722199
0,140,1.282194
0,141,2.4390695
0,142,-4.056414
0,143,2.763106
0,144,1.275538
0,145,1.9472477
0,146,0.7251209
0,147,-2.1885736
0,148,-0.6192624
0,149,1.2866406
0,150,0.61788183
0,151,-0.28746334
0,152,1.0143062
0,153,3.7926004
0,154,3.2610505
0,155,-1.500948
0,156,-3.6406777
0,157,4.434895
0,159,2.0560033
0,160,-0.39409468
0,161,1.3196863
0,162,-1.104899
0,163,-1.5309881
0,164,-3.771985
0,165,2.9378753
0,166,1.6271946
0,167,2.0927699
0,168,3.5051603
0,169,-5.404292
0,170,2.3693068
0,171,-0.94460297
0,172,3.3947747
0,173,-0.15099262
0,174,0.21544144
0,176,2.3476522
0,177,-0.0694215
0,178,2.4293423
0,179,-1.2026362
0,180,1.0885953
0,181,2.540348
0,182,2.0144718
0,183,2.5445483
0,184,0.35537586
0,186,3.7926004
0,187,0.8701683
0,188,2.255882
0,189,-0.4736332
0,190,1.7724892
0,191,1.1261214
0,192,3.4238155
0,193,0.43668893
0,194,1.7687784
0,195,1.2081844
0,196,3.7202144
0,197,4.3757944
0,198,2.6404586
0,199,3.5769753
0,200,0.51357883
0,201,1.2459275
0,202,3.9137409
0,203,-0.22071157
0,204,1.2310736
0,205,-2.0698767
0,206,1.7306525
0,207,0.31567842
0,208,-3.3105845
0,209,4.02408
0,210,1.6364541
0,211,-0.24185967
0,212,1.3777896
0,213,1.3876083
0,214,-0.58581454
0,215,3.1317527
0,216,1.388854
0,217,-0.15062824
0,218,6.2944465
0,219,1.4995911
0,220,3.270409
0,221,2.94727
0,222,0.17256844
0,223,2.0182784
0,224,2.6520174
0,225,-3.6349304
0,226,1.6424538
0,227,2.5276153
1,0,3.0468462
1,1,2.689267
1,2,2.8769004
1,3,3.772202
1,4,4.280817
1,8,0.050062966
1,10,1.56661
1,11,0.20118074
1,12,6.973227
1,13,9.134225
1,14,-4.4610844
1,15,-1.0296149
1,17,3.191526
1,18,4.6183386
1,19,-0.3997113
1,21,4.8160563
1,22,5.499649
1,23,1.1748247
1,24,1.024667
1,25,-1.3005946
1,26,-6.343032
1,27,1.9077537
1,28,3.1014445
1,30,2.6787252
1,31,5.5931864
1,35,3.7804513
1,36,-5.3290415
1,37,-5.881705
1,41,-4.1578465
1,42,4.551035
1,43,-4.246559
1,45,2.5449035
1,46,5.5566816
1,47,5.815997
1,48,0.83001924
1,50,1.7159417
1,51,5.6747684
1,52,4.5016713
1,54,4.6236844
1,55,3.70926
1,56,2.341896
1,58,4.043468
1,59,3.6434953
1,60,-2.0916991
1,62,3.0912447
1,63,-4.202694
1,65,2.238981
1,67,2.1432176
1,68,1.0815651
1,70,1.7575592
1,72,-1.4833454
1,73,1.7275535
1,74,0.7701728
1,75,0.1800385
1,76,-3.2954066
1,77,2.3973138
1,78,-4.5674815
1,79,3.2070074
1,80,-0.11670873
1,83,2.9063194
1,85,-1.6258216
1,86,1.4639374
1,87,2.5534894
