COSMIC_ID,Name,COSMIC_ID,Tissue,Tissue sub-type,Count,1 , 2,3,4
"1287381","201T","SIDM00055","1287381","LUAD","lung","lung_NSCLC_adenocarcinoma","GDSC1","241","1796"
"924100","22RV1","SIDM00499","924100","PRAD","urogenital_system","prostate","GDSC1","325","1796"
"924100","22RV1","SIDM00499","924100","PRAD","urogenital_system","prostate","GDSC2","180","1796"
"910924","23132-87","SIDM00980","910924","STAD","digestive_system","stomach","GDSC1","316","1796"
"910924","23132-87","SIDM00980","910924","STAD","digestive_system","stomach","GDSC2","180","1796"
"687561","42-MG-BA","SIDM00982","687561","GBM","nervous_system","glioma","GDSC1","317","1796"
"687561","42-MG-BA","SIDM00982","687561","GBM","nervous_system","glioma","GDSC2","180","1796"
"1287706","451Lu","SIDM01240","1287706","SKCM","skin","melanoma","GDSC1","324","1796"
"687452","5637","SIDM00807","687452","BLCA","urogenital_system","bladder","GDSC1","319","1796"
"687452","5637","SIDM00807","687452","BLCA","urogenital_system","bladder","GDSC2","179","1796"
"906798","639-V","SIDM00999","906798","BLCA","urogenital_system","bladder","GDSC1","325","1796"
"906798","639-V","SIDM00999","906798","BLCA","urogenital_system","bladder","GDSC2","179","1796"
"906797","647-V","SIDM00983","906797","BLCA","urogenital_system","bladder","GDSC1","319","1796"
"906797","647-V","SIDM00983","906797","BLCA","urogenital_system","bladder","GDSC2","180","1796"
"906800","697","SIDM01076","906800","UNCLASSIFIED","blood","lymphoblastic_leukemia","GDSC1","356","1796"
"906800","697","SIDM01076","906800","UNCLASSIFIED","blood","lymphoblastic_leukemia","GDSC2","178","1796"
"910922","769-P","SIDM00803","910922","KIRC","kidney","kidney","GDSC1","312","1796"
"910922","769-P","SIDM00803","910922","KIRC","kidney","kidney","GDSC2","180","1796"
"905947","786-0","SIDM00125","905947","KIRC","kidney","kidney","GDSC1","318","1796"
"905947","786-0","SIDM00125","905947","KIRC","kidney","kidney","GDSC2","180","1796"
"687562","8-MG-BA","SIDM00998","687562","GBM","nervous_system","glioma","GDSC1","366","1796"
"687562","8-MG-BA","SIDM00998","687562","GBM","nervous_system","glioma","GDSC2","179","1796"
"906795","8305C","SIDM00997","906795","THCA","thyroid","thyroid","GDSC1","325","1796"
"906795","8305C","SIDM00997","906795","THCA","thyroid","thyroid","GDSC2","180","1796"
"924102","8505C","SIDM00996","924102","THCA","thyroid","thyroid","GDSC1","316","1796"
"924102","8505C","SIDM00996","924102","THCA","thyroid","thyroid","GDSC2","180","1796"
"910921","A101D","SIDM00801","910921","SKCM","skin","melanoma","GDSC1","359","1796"
"910921","A101D","SIDM00801","910921","SKCM","skin","melanoma","GDSC2","180","1796"
