cells,drugs,labels
0,2,1.0
0,13,1.0
0,63,0.0
0,140,0.0
0,149,1.0
0,159,0.0
0,178,1.0
0,213,1.0
1,4,0.0
1,113,0.0
1,145,1.0
1,208,1.0
2,45,0.0
2,86,0.0
2,183,1.0
3,43,0.0
3,100,1.0
3,117,1.0
3,140,1.0
3,168,1.0
3,215,1.0
3,226,1.0
4,70,1.0
4,100,1.0
4,118,1.0
4,148,1.0
4,164,1.0
4,203,0.0
5,73,1.0
5,112,1.0
5,153,1.0
5,168,1.0
5,193,1.0
5,196,1.0
6,86,0.0
6,152,1.0
6,196,1.0
7,46,1.0
7,70,1.0
7,105,1.0
7,109,1.0
7,176,0.0
7,226,1.0
8,18,0.0
8,52,0.0
8,54,1.0
8,57,0.0
8,109,0.0
8,112,0.0
8,134,0.0
8,224,0.0
9,57,1.0
9,63,1.0
9,106,1.0
9,147,0.0
9,192,0.0
9,208,0.0
10,12,0.0
10,17,0.0
10,24,1.0
10,79,0.0
10,216,1.0
11,166,1.0
11,179,0.0
11,198,1.0
12,67,0.0
12,221,1.0
13,130,0.0
13,160,0.0
14,12,1.0
14,48,1.0
14,100,1.0
16,13,1.0
16,73,1.0
16,89,0.0
16,97,0.0
16,155,0.0
16,164,0.0
16,202,0.0
17,9,0.0
17,21,0.0
17,149,1.0
18,26,1.0
18,54,1.0
18,55,1.0
18,86,1.0
18,153,1.0
18,200,1.0
18,212,1.0
19,103,0.0
20,62,0.0
20,66,1.0
20,76,0.0
20,105,1.0
20,134,1.0
20,141,1.0
20,162,1.0
20,199,0.0
20,200,1.0
20,201,0.0
20,211,0.0
21,73,0.0
21,152,0.0
21,184,0.0
22,101,0.0
23,52,0.0
23,129,0.0
23,150,0.0
23,189,0.0
23,197,0.0
24,11,0.0
24,15,0.0
24,113,1.0
24,121,0.0
24,171,0.0
25,140,0.0
26,84,0.0
27,72,0.0
27,184,0.0
27,202,0.0
28,184,0.0
28,208,0.0
29,27,1.0
29,96,0.0
29,164,0.0
29,210,0.0
29,214,0.0
29,217,0.0
29,226,1.0
30,63,0.0
30,190,0.0
31,40,1.0
31,54,1.0
31,82,1.0
31,143,1.0
33,75,0.0
33,112,0.0
33,188,0.0
35,112,0.0
35,133,0.0
36,4,1.0
36,60,0.0
36,87,0.0
36,126,0.0
36,138,0.0
36,166,0.0
37,31,0.0
37,117,0.0
37,128,0.0
37,221,0.0
38,15,1.0
38,47,1.0
38,168,1.0
39,60,1.0
39,94,0.0
39,97,0.0
40,47,0.0
40,117,0.0
40,220,0.0
41,113,0.0
42,123,0.0
42,211,0.0
43,119,1.0
43,184,1.0
43,214,1.0
43,217,1.0
44,29,0.0
44,52,0.0
44,64,0.0
44,65,0.0
44,156,0.0
44,210,0.0
45,41,1.0
45,70,0.0
45,91,1.0
45,112,0.0
45,149,1.0
45,193,0.0
45,211,1.0
46,116,0.0
46,149,1.0
46,185,0.0
47,108,0.0
47,149,1.0
48,3,0.0
48,34,0.0
48,127,1.0
48,128,1.0
49,45,0.0
49,63,0.0
49,145,0.0
49,226,1.0
50,32,0.0
50,89,0.0
50,139,0.0
51,1,0.0
51,38,0.0
51,81,0.0
51,133,0.0
51,174,1.0
52,50,1.0
52,158,0.0
52,211,0.0
53,131,0.0
53,149,0.0
53,204,0.0
54,143,0.0
54,170,0.0
54,225,0.0
55,139,0.0
56,9,0.0
56,15,0.0
56,56,0.0
56,85,0.0
56,174,1.0
58,77,1.0
58,87,1.0
58,100,1.0
58,209,1.0
59,79,0.0
59,158,0.0
59,189,1.0
59,195,0.0
60,17,0.0
60,50,1.0
60,90,1.0
60,137,0.0
60,200,0.0
61,149,1.0
62,25,1.0
62,62,0.0
62,76,0.0
62,135,0.0
62,139,0.0
62,224,0.0
63,22,0.0
63,73,0.0
64,105,1.0
64,127,1.0
64,135,1.0
64,178,1.0
64,181,0.0
65,4,0.0
65,20,0.0
65,41,0.0
65,115,0.0
65,158,0.0
66,18,1.0
66,186,0.0
66,196,0.0
66,212,1.0
66,226,0.0
68,0,1.0
68,58,0.0
68,83,1.0
68,168,1.0
69,51,0.0
69,62,0.0
69,215,0.0
70,64,1.0
70,153,0.0
70,223,0.0
71,129,1.0
71,135,0.0
71,162,1.0
71,164,1.0
71,166,0.0
71,195,0.0
72,30,0.0
72,48,1.0
72,60,1.0
72,172,1.0
72,181,0.0
73,9,0.0
73,51,0.0
73,53,1.0
73,85,0.0
73,109,0.0
73,127,0.0
73,182,1.0
73,192,0.0
74,2,1.0
74,144,0.0
74,200,0.0
74,221,1.0
75,21,0.0
75,86,0.0
75,192,1.0
78,138,1.0
78,190,1.0
79,70,0.0
79,88,1.0
79,113,0.0
79,136,0.0
80,60,1.0
80,109,0.0
81,65,0.0
81,73,0.0
81,91,0.0
81,116,0.0
81,214,1.0
82,106,0.0
82,174,1.0
82,214,0.0
83,36,0.0
83,75,0.0
83,221,0.0
84,4,0.0
84,11,0.0
84,150,0.0
84,193,0.0
84,221,0.0
85,5,0.0
85,13,0.0
85,30,1.0
85,38,0.0
85,104,0.0
85,192,1.0
85,202,0.0
86,34,0.0
86,112,0.0
86,167,1.0
86,180,0.0
86,203,0.0
87,32,1.0
87,104,1.0
87,135,1.0
87,172,1.0
87,194,0.0
87,196,0.0
87,221,1.0
88,27,0.0
88,119,0.0
89,127,0.0
89,131,0.0
90,28,1.0
90,145,1.0
90,209,0.0
91,43,0.0
91,125,0.0
91,155,0.0
91,198,1.0
92,65,0.0
93,149,0.0
93,174,0.0
93,186,0.0
94,12,0.0
94,86,0.0
95,86,0.0
95,138,1.0
95,181,0.0
95,210,0.0
95,223,0.0
96,2,0.0
96,54,0.0
96,90,0.0
96,128,0.0
96,176,0.0
97,17,0.0
97,67,0.0
97,102,0.0
98,28,0.0
98,127,0.0
98,158,0.0
99,97,1.0
99,116,0.0
99,146,0.0
100,22,0.0
100,108,0.0
100,227,0.0
101,39,0.0
101,52,0.0
101,195,1.0
101,215,0.0
102,12,0.0
102,42,0.0
102,78,0.0
102,95,0.0
102,149,1.0
102,178,0.0
103,33,1.0
103,65,0.0
103,157,1.0
103,186,0.0
103,216,1.0
104,46,0.0
104,181,0.0
104,201,0.0
105,21,0.0
105,87,1.0
105,93,0.0
105,96,0.0
105,155,0.0
105,208,0.0
105,217,0.0
106,19,1.0
106,32,1.0
106,35,1.0
106,45,1.0
106,65,1.0
106,82,1.0
106,118,0.0
106,135,0.0
106,209,1.0
107,8,0.0
107,57,1.0
107,106,1.0
107,165,0.0
107,180,1.0
107,182,1.0
108,11,1.0
108,29,1.0
108,138,1.0
109,140,0.0
110,68,0.0
110,147,1.0
110,218,1.0
111,4,1.0
111,88,1.0
111,108,1.0
111,142,0.0
111,227,0.0
112,77,1.0
112,117,0.0
112,204,1.0
112,215,1.0
112,216,1.0
113,23,1.0
113,40,0.0
113,205,0.0
113,209,0.0
113,214,1.0
113,221,0.0
114,68,1.0
115,79,1.0
115,123,1.0
115,152,0.0
115,161,0.0
115,167,0.0
115,219,0.0
115,225,0.0
116,0,0.0
116,46,0.0
116,57,1.0
116,110,0.0
116,224,0.0
117,58,0.0
117,87,1.0
117,119,0.0
117,168,0.0
117,169,0.0
118,25,1.0
118,36,1.0
118,37,0.0
118,112,1.0
118,114,1.0
118,132,1.0
118,153,1.0
118,160,1.0
118,186,1.0
118,206,1.0
119,55,0.0
119,77,0.0
121,58,0.0
121,81,0.0
121,130,1.0
121,180,0.0
121,219,1.0
122,97,0.0
122,212,1.0
123,14,0.0
123,31,0.0
123,44,0.0
123,144,0.0
123,210,0.0
124,31,1.0
124,78,0.0
124,83,0.0
124,176,0.0
124,201,0.0
125,20,0.0
125,57,1.0
125,60,0.0
125,142,0.0
127,26,1.0
127,30,1.0
127,47,0.0
127,103,0.0
127,135,0.0
127,142,0.0
127,202,0.0
128,26,1.0
128,87,1.0
128,89,0.0
128,185,1.0
129,20,0.0
129,26,0.0
130,147,0.0
130,155,1.0
130,161,1.0
131,51,0.0
131,88,0.0
131,160,1.0
131,211,1.0
132,41,0.0
132,212,0.0
133,48,0.0
134,147,0.0
134,185,1.0
135,184,0.0
135,196,0.0
136,22,1.0
136,101,1.0
136,158,0.0
137,10,0.0
138,54,0.0
138,104,0.0
138,150,0.0
138,224,0.0
139,109,0.0
139,126,0.0
140,85,1.0
140,86,1.0
140,110,1.0
140,118,0.0
140,135,1.0
140,145,1.0
141,23,1.0
141,64,1.0
141,81,0.0
141,114,1.0
142,106,1.0
143,10,0.0
143,43,0.0
143,76,0.0
143,122,1.0
144,105,0.0
144,158,1.0
145,7,0.0
145,25,0.0
145,132,0.0
145,171,1.0
146,141,1.0
147,33,1.0
147,54,1.0
147,57,1.0
147,92,1.0
147,138,0.0
147,141,1.0
148,4,0.0
148,117,1.0
148,139,1.0
148,152,0.0
148,222,1.0
149,67,0.0
149,112,0.0
149,114,0.0
149,184,0.0
149,201,0.0
150,43,0.0
150,72,0.0
150,126,0.0
151,21,1.0
151,59,1.0
151,175,0.0
151,192,0.0
152,115,0.0
152,135,1.0
152,210,0.0
153,77,1.0
153,82,1.0
153,90,0.0
153,91,1.0
153,164,0.0
153,216,1.0
153,221,1.0
154,1,0.0
154,57,1.0
154,80,0.0
154,93,0.0
154,134,1.0
155,120,0.0
155,140,1.0
155,200,0.0
155,204,1.0
155,213,1.0
156,51,0.0
156,123,1.0
157,87,1.0
157,138,1.0
157,178,1.0
157,182,1.0
157,195,0.0
158,74,0.0
158,82,1.0
158,90,0.0
158,103,0.0
158,176,0.0
158,191,0.0
159,224,0.0
160,67,0.0
160,130,0.0
160,209,1.0
161,14,1.0
161,47,1.0
161,58,1.0
161,102,1.0
161,127,1.0
161,149,1.0
161,158,1.0
161,189,0.0
161,217,1.0
162,77,1.0
162,82,0.0
162,115,0.0
162,131,0.0
