cells,drugs,labels
0,52,2.8180747
0,71,3.216398
0,79,2.3974354
0,89,2.576618
0,158,0.45744058
0,175,-1.932574
1,40,3.9759822
1,172,0.94900894
1,190,1.6335462
1,220,2.03193
2,118,2.6945238
3,44,1.406109
3,101,1.6447045
3,149,-0.36704186
3,162,-0.51077265
3,183,1.751297
4,0,0.947485
4,12,5.280338
4,24,-3.6641638
4,42,4.399218
4,70,1.1319667
4,154,1.5052544
5,29,4.7133927
5,40,2.5487976
5,82,2.9393964
5,109,0.17813344
5,127,2.3022213
5,161,-0.05810273
5,164,0.03906403
5,173,-0.23733142
5,183,1.6945585
5,209,3.3027105
6,54,5.082285
6,161,1.6948309
6,218,7.2304997
6,224,-0.7300391
7,100,0.6779348
7,194,2.5824184
7,209,4.9577107
7,220,3.8501
8,44,2.7814512
8,54,3.0778468
8,192,5.6152287
8,210,4.7812777
9,9,6.5403423
9,137,-3.0415657
9,141,-1.2303154
9,166,3.5366008
9,172,5.268159
9,224,4.234647
10,2,2.6449738
10,26,-8.397409
10,36,-6.615991
10,108,2.1127942
10,116,-5.4983134
10,174,2.7953103
10,203,-0.8444245
11,97,1.2026856
11,150,0.7188133
12,103,1.2902772
12,127,5.632048
12,205,4.6088147
13,9,5.047625
13,86,-2.3590837
14,147,-4.041298
14,209,2.636881
15,10,-1.7868055
15,168,4.528748
15,225,-3.8049886
16,46,6.119783
16,73,-0.870381
16,90,3.1424625
16,95,3.1005867
16,157,3.2126603
16,167,1.7026261
16,188,5.208657
17,63,-1.1192863
17,68,-0.45278624
17,116,-5.875563
17,145,1.0269592
17,149,3.0935836
17,179,-0.5635429
17,195,3.1833904
18,45,-1.9775572
18,55,1.7701268
18,113,3.9976795
18,131,3.9906204
18,212,1.2051095
19,41,-6.9069705
19,54,2.5164566
19,122,0.99077034
19,164,3.0785031
19,210,3.1336472
20,43,-8.273331
20,158,-1.3695743
20,160,-2.2265985
20,223,3.112594
21,25,0.6182977
21,119,2.3241007
22,96,1.8631376
22,125,1.8578919
23,25,1.3909945
23,89,5.2843366
23,217,0.74731266
24,26,-6.994547
24,28,-0.78629756
24,45,-1.5214981
24,125,2.0588698
24,201,2.9535456
24,223,3.5285268
25,51,5.0176277
25,161,2.5011737
26,62,4.400876
26,113,4.8587413
26,119,4.8823624
26,128,4.8587413
26,132,1.740725
27,2,2.1567595
27,60,-2.0361845
27,102,6.0947213
27,104,3.4359324
28,59,4.754309
28,75,-0.5780563
28,104,1.6622188
28,198,3.5059967
28,216,3.0594385
29,52,3.586352
29,95,1.8639951
29,173,0.5119103
29,186,4.026619
29,198,3.7816641
29,203,-0.059632465
30,223,4.903961
31,23,-0.38066202
31,45,2.0091712
31,59,2.6667342
31,60,-4.275927
31,75,-1.7361696
31,92,3.3456955
31,118,2.7762518
31,145,0.59996533
31,149,3.1693983
31,158,-1.3403347
31,199,2.9944065
33,219,3.3920596
34,68,5.081454
34,135,0.09937957
34,142,-1.751822
34,165,0.98103005
35,59,2.144036
35,154,4.0274863
36,122,2.6668737
36,206,2.7620888
